epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.392,2.17074,5.08938,1.99637,0.47807,0.56362,0.49881,0.39943,1.90992,2.92013,1.90017,7.39196e-05,7.39196e-05,7.39196e-05
2,340.493,1.88322,2.79576,1.88698,0.62717,0.59681,0.61782,0.49178,1.89967,2.44379,1.89253,0.000144991,0.000144991,0.000144991
3,504.189,1.85737,2.29218,1.88369,0.65245,0.66237,0.69018,0.55302,1.87352,2.24392,1.87705,0.000213132,0.000213132,0.000213132
4,666.208,1.84131,2.05122,1.87147,0.64895,0.64032,0.652,0.52668,1.83395,2.45731,1.86486,0.000208813,0.000208813,0.000208813
5,837.382,1.77339,1.84883,1.85325,0.79901,0.74558,0.80047,0.65136,1.82412,1.68855,1.86222,0.000204418,0.000204418,0.000204418
6,996.32,1.78345,1.81311,1.8637,0.74095,0.7251,0.76769,0.62172,1.83574,2.0114,1.85793,0.000200022,0.000200022,0.000200022
7,1158.72,1.76819,1.66891,1.85026,0.78079,0.75918,0.80633,0.65796,1.79155,1.63881,1.85886,0.000195626,0.000195626,0.000195626
8,1317.67,1.74949,1.615,1.85223,0.82598,0.78319,0.83578,0.6836,1.78382,1.54128,1.84438,0.000191231,0.000191231,0.000191231
9,1477.62,1.74347,1.53019,1.84414,0.83135,0.79216,0.83554,0.68324,1.7664,1.53482,1.83673,0.000186835,0.000186835,0.000186835
10,1639.36,1.6996,1.51888,1.83696,0.83407,0.77979,0.82888,0.67843,1.7581,1.6178,1.84262,0.00018244,0.00018244,0.00018244
11,1799.62,1.69916,1.46068,1.83229,0.84853,0.81117,0.85343,0.69889,1.75834,1.47452,1.83895,0.000178044,0.000178044,0.000178044
12,1963.72,1.69226,1.37853,1.83358,0.85415,0.80973,0.85486,0.70277,1.75663,1.54843,1.83148,0.000173648,0.000173648,0.000173648
13,2130.07,1.70164,1.40068,1.83188,0.8554,0.81407,0.85667,0.70228,1.77525,1.42482,1.8391,0.000169253,0.000169253,0.000169253
14,2295.77,1.68296,1.36374,1.83151,0.8456,0.81156,0.85314,0.70198,1.75188,1.44744,1.8309,0.000164857,0.000164857,0.000164857
15,2461.43,1.68675,1.38366,1.82862,0.86587,0.79505,0.84457,0.69221,1.74674,1.5227,1.82414,0.000160462,0.000160462,0.000160462
16,2626.85,1.67419,1.32589,1.82262,0.86795,0.82875,0.86441,0.71067,1.74683,1.37633,1.8306,0.000156066,0.000156066,0.000156066
17,2791.4,1.65312,1.22536,1.81398,0.87941,0.83423,0.86969,0.7165,1.75901,1.34031,1.82676,0.00015167,0.00015167,0.00015167
18,2957.7,1.6478,1.25867,1.82107,0.89121,0.83484,0.87303,0.72166,1.73074,1.31847,1.81402,0.000147275,0.000147275,0.000147275
19,3122.76,1.63526,1.21373,1.80603,0.86139,0.81178,0.85432,0.70436,1.74375,1.55163,1.81851,0.000142879,0.000142879,0.000142879
20,3289.03,1.64973,1.18835,1.80782,0.82144,0.79662,0.83851,0.68908,1.74907,1.54039,1.82103,0.000138484,0.000138484,0.000138484
21,3453.79,1.62478,1.1981,1.80685,0.81079,0.76274,0.80861,0.66505,1.73179,1.73479,1.81552,0.000134088,0.000134088,0.000134088
22,3621.53,1.63262,1.16039,1.80182,0.87825,0.83905,0.8744,0.72202,1.73943,1.3073,1.81484,0.000129692,0.000129692,0.000129692
23,3783.28,1.6189,1.11817,1.80172,0.87869,0.83882,0.87402,0.72136,1.72913,1.3992,1.8151,0.000125297,0.000125297,0.000125297
24,3943.37,1.62291,1.12763,1.80824,0.82429,0.78442,0.8208,0.67987,1.72523,1.71617,1.81085,0.000120901,0.000120901,0.000120901
25,4111.32,1.61834,1.15078,1.79864,0.89142,0.8244,0.87318,0.72411,1.72901,1.33192,1.80653,0.000116506,0.000116506,0.000116506
26,4277.87,1.59734,1.09572,1.78704,0.88428,0.83306,0.86776,0.71973,1.72055,1.35995,1.81315,0.00011211,0.00011211,0.00011211
27,4444.28,1.59966,1.06139,1.79184,0.87471,0.83154,0.86919,0.72028,1.71918,1.33448,1.80555,0.000107714,0.000107714,0.000107714
28,4613.71,1.59005,1.07737,1.79224,0.87512,0.82111,0.86756,0.71996,1.72326,1.44482,1.81097,0.000103319,0.000103319,0.000103319
29,4778.81,1.591,1.0505,1.79168,0.88698,0.84751,0.87922,0.73103,1.71405,1.22924,1.80447,9.89232e-05,9.89232e-05,9.89232e-05
30,4945.67,1.59189,1.05424,1.79056,0.91842,0.84778,0.88306,0.73495,1.71197,1.19879,1.80456,9.45276e-05,9.45276e-05,9.45276e-05
31,5117.77,1.58456,1.02753,1.78929,0.89747,0.86002,0.885,0.73954,1.69486,1.31944,1.80172,9.0132e-05,9.0132e-05,9.0132e-05
32,5289.22,1.55964,1.01327,1.77648,0.8885,0.84339,0.87947,0.73397,1.69765,1.34383,1.80284,8.57364e-05,8.57364e-05,8.57364e-05
33,5455.98,1.56082,0.9893,1.78253,0.8725,0.83974,0.87316,0.7296,1.70175,1.26533,1.80507,8.13408e-05,8.13408e-05,8.13408e-05
34,5621.98,1.56473,0.96877,1.7852,0.88821,0.84138,0.87923,0.73504,1.69748,1.34302,1.79841,7.69452e-05,7.69452e-05,7.69452e-05
35,5788.32,1.54996,0.95584,1.7741,0.89127,0.84247,0.87933,0.7345,1.69743,1.56265,1.79842,7.25496e-05,7.25496e-05,7.25496e-05
36,5956.07,1.53791,0.96102,1.7688,0.89095,0.8553,0.88387,0.74009,1.70115,1.18908,1.79991,6.8154e-05,6.8154e-05,6.8154e-05
37,6129.31,1.53823,0.95847,1.77148,0.87939,0.84831,0.87406,0.73253,1.69127,1.35742,1.79774,6.37584e-05,6.37584e-05,6.37584e-05
38,6296.88,1.54051,0.95779,1.76759,0.8944,0.84799,0.88153,0.74076,1.68509,1.39624,1.79867,5.93628e-05,5.93628e-05,5.93628e-05
39,6471.63,1.52985,0.94171,1.7742,0.90237,0.85301,0.88513,0.74302,1.69147,1.1786,1.79801,5.49672e-05,5.49672e-05,5.49672e-05
40,6641.98,1.53015,0.92516,1.77237,0.89672,0.85518,0.8834,0.74202,1.68395,1.18348,1.79392,5.05716e-05,5.05716e-05,5.05716e-05
41,6808.33,1.50966,0.91288,1.75794,0.89463,0.85946,0.88713,0.74403,1.69531,1.17508,1.79938,4.6176e-05,4.6176e-05,4.6176e-05
42,6983.17,1.50242,0.90873,1.75406,0.8831,0.84717,0.87752,0.73661,1.6978,1.28737,1.79994,4.17804e-05,4.17804e-05,4.17804e-05
43,7154.7,1.48808,0.8662,1.74765,0.88095,0.85722,0.88406,0.74309,1.69241,1.2076,1.7976,3.73848e-05,3.73848e-05,3.73848e-05
44,7321.49,1.49106,0.86194,1.74512,0.89415,0.85374,0.88691,0.74535,1.68706,1.36823,1.79757,3.29892e-05,3.29892e-05,3.29892e-05
