epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.487,2.72038,9.33152,2.09975,0.03956,0.37858,0.05679,0.03796,2.37068,7.38362,1.9722,7.39196e-05,7.39196e-05,7.39196e-05
2,277.844,2.44562,6.62933,1.96686,0.28107,0.31618,0.20468,0.15342,2.3352,5.04666,1.95615,0.000144991,0.000144991,0.000144991
3,415.401,2.35709,5.07146,1.95638,0.33732,0.38784,0.26837,0.20474,2.24655,4.3978,1.931,0.000213132,0.000213132,0.000213132
4,547.394,2.26173,4.43696,1.93806,0.35151,0.46468,0.32587,0.25611,2.14482,3.90908,1.9116,0.000208813,0.000208813,0.000208813
5,682.311,2.15807,4.0783,1.91624,0.40691,0.47972,0.36983,0.29185,2.11121,3.70999,1.90678,0.000204418,0.000204418,0.000204418
6,820.381,2.13709,3.84253,1.91517,0.39136,0.49459,0.38018,0.30029,2.08301,3.65367,1.89932,0.000200022,0.000200022,0.000200022
7,955.404,2.10773,3.61692,1.9032,0.45487,0.5289,0.46553,0.37076,2.06924,3.24248,1.89418,0.000195626,0.000195626,0.000195626
8,1090.46,2.0799,3.44411,1.90389,0.47861,0.53805,0.49355,0.39561,2.0352,3.0985,1.88212,0.000191231,0.000191231,0.000191231
9,1220.84,2.05807,3.20005,1.8935,0.5211,0.56066,0.54872,0.4429,2.01521,2.91901,1.87483,0.000186835,0.000186835,0.000186835
10,1350.56,2.03255,3.0836,1.89244,0.60603,0.59404,0.60923,0.49094,2.00994,2.70544,1.87402,0.00018244,0.00018244,0.00018244
11,1481.83,2.00599,2.94019,1.88282,0.59577,0.58696,0.59202,0.47801,1.98501,2.70669,1.86779,0.000178044,0.000178044,0.000178044
