epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.548,0.91298,1.96117,0.98393,0.62887,0.69154,0.65742,0.52839,0.77457,1.19798,0.93433,7.39196e-05,7.39196e-05,7.39196e-05
2,284.188,0.78266,1.11145,0.92991,0.74142,0.7257,0.76271,0.61707,0.76971,0.99373,0.9218,0.000144991,0.000144991,0.000144991
3,422.466,0.77729,0.95426,0.92784,0.78572,0.76189,0.81604,0.65306,0.8057,0.93449,0.93557,0.000213132,0.000213132,0.000213132
4,557.591,0.76605,0.84608,0.91919,0.80252,0.79669,0.83619,0.68213,0.77464,0.8506,0.92236,0.000208813,0.000208813,0.000208813
5,693.377,0.75061,0.8134,0.91318,0.84111,0.80603,0.84869,0.69279,0.78001,0.73928,0.91936,0.000204418,0.000204418,0.000204418
6,831.279,0.7486,0.77098,0.91325,0.82592,0.79129,0.82971,0.67921,0.76313,0.85644,0.91637,0.000200022,0.000200022,0.000200022
7,966.329,0.73923,0.7342,0.90706,0.81638,0.79766,0.83744,0.68848,0.75186,0.75779,0.90846,0.000195626,0.000195626,0.000195626
8,1099.91,0.73446,0.686,0.90938,0.80378,0.78972,0.81744,0.66776,0.76247,0.80961,0.91122,0.000191231,0.000191231,0.000191231
9,1235.19,0.73257,0.66316,0.90484,0.86438,0.8383,0.86672,0.71615,0.75024,0.67872,0.90586,0.000186835,0.000186835,0.000186835
10,1376.78,0.71715,0.63068,0.90259,0.88703,0.83983,0.87385,0.72205,0.74374,0.66759,0.90312,0.00018244,0.00018244,0.00018244
11,1512.99,0.70913,0.61,0.89765,0.9001,0.85109,0.87935,0.7251,0.75393,0.60237,0.90309,0.000178044,0.000178044,0.000178044
12,1651.26,0.70738,0.58348,0.89916,0.88784,0.85726,0.87853,0.72739,0.75132,0.63637,0.90385,0.000173648,0.000173648,0.000173648
13,1787.15,0.71086,0.5724,0.89628,0.89501,0.85993,0.88307,0.73073,0.74869,0.578,0.90389,0.000169253,0.000169253,0.000169253
14,1923.76,0.70545,0.59215,0.89777,0.88442,0.85472,0.88,0.73052,0.74458,0.63818,0.90271,0.000164857,0.000164857,0.000164857
15,2062.59,0.70048,0.55347,0.89438,0.90738,0.85698,0.8809,0.73388,0.73419,0.57921,0.90074,0.000160462,0.000160462,0.000160462
16,2197.41,0.69482,0.53926,0.89242,0.89686,0.8554,0.87941,0.73021,0.73905,0.59101,0.90174,0.000156066,0.000156066,0.000156066
17,2332.4,0.68453,0.51685,0.88759,0.88145,0.8613,0.88316,0.73507,0.73287,0.59406,0.89766,0.00015167,0.00015167,0.00015167
18,2467.54,0.68711,0.52565,0.89241,0.91039,0.85489,0.88027,0.73619,0.73275,0.5908,0.89838,0.000147275,0.000147275,0.000147275
19,2602.5,0.67693,0.48401,0.88528,0.88678,0.84843,0.87637,0.73298,0.73208,0.67839,0.89824,0.000142879,0.000142879,0.000142879
20,2740.49,0.68023,0.48789,0.88418,0.85984,0.82456,0.85425,0.71231,0.73224,0.65528,0.89664,0.000138484,0.000138484,0.000138484
21,2874.44,0.67209,0.49113,0.88395,0.87539,0.83177,0.86307,0.72089,0.73766,0.729,0.89719,0.000134088,0.000134088,0.000134088
22,3012.68,0.67328,0.47131,0.88168,0.90239,0.86815,0.89086,0.74652,0.73617,0.54914,0.897,0.000129692,0.000129692,0.000129692
23,3148.78,0.66595,0.45684,0.88107,0.91005,0.87087,0.89239,0.74698,0.73098,0.58619,0.89608,0.000125297,0.000125297,0.000125297
24,3287.16,0.67146,0.472,0.88452,0.8894,0.86649,0.88722,0.74506,0.732,0.61457,0.89582,0.000120901,0.000120901,0.000120901
